Molecule Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
(R)-(-)-Carvone,7.464316608,-43.5911263,-8.046428055,-0.57472996,-3.580253965,5.872903246,-2.68929545,0.910234567,3.263888446,1.24172221,-1.817992332,-10.06481809,-5.517172321,6.956873148,0.003187041
"(1R,2S,5R)-(-)-Menthol",-15.98478776,-48.40975504,11.59967889,-6.459995852,-2.895890037,-21.81718731,7.987366444,30.16837856,-4.855939769,-27.96674964,-15.59379112,18.88179411,6.680355329,-3.86964506,-18.29947312
(-)-Menthyl chloride,-5.850617305,-48.61299683,25.38346006,-1.972609498,-9.623228404,-12.07931596,-5.014841529,9.790833475,-11.12581074,-10.94892388,12.77288816,-4.068723348,4.196934002,0.326200044,0.769740882
(-)-Borneol,0.756580394,-25.88464322,-4.987043496,6.148153392,-18.16790862,7.294050902,-16.95439689,9.16687656,10.16004639,8.512540587,22.09082235,-60.18860341,5.246428998,9.022765629,-17.82357307
(-)-Isoplegol,-12.59958957,-33.71723787,-12.96652274,-18.47908333,5.945712801,-6.208222431,-4.337392026,10.78344192,-12.64020446,1.773642579,1.92739971,6.935121771,5.856484901,8.257695124,-9.98322004
(R)-(+)-Pulegone,-5.542243026,-15.56517793,-22.67164569,13.41613241,-14.65190454,1.710213983,-9.316080879,2.934847438,23.29112904,-3.159998449,-3.677587266,0.476664989,2.819392742,21.60327098,18.45046505
"(1S,2S,5S)-(-)-Myrtanol",-11.30462727,-39.54785229,-4.613877672,-11.45063171,-2.593526357,-3.130141239,-4.316776535,10.44583617,-3.615854796,-8.445259931,-4.63313118,-0.055595832,5.454685033,8.237247286,-5.906038378
(1R)-(-)-Fenchone,-9.503535873,-38.56356581,-1.07117654,-32.035041,8.989549997,-3.51114216,-1.68415554,-16.96410837,-15.01904136,-8.198165347,0.52672826,7.368323019,-27.74137462,0.402213562,28.93165799
(1R)-endo-(+)-Fenchyl alchol,-4.012210047,-34.70422717,-0.25601509,19.22392529,-13.37504057,1.209394669,-9.788738771,-33.58501362,-8.456645578,-3.349949421,6.33203014,-6.485679913,22.14615646,-9.18655743,15.74230566
"(1R,2R,3R,5S)-(-)-Isopinocampheol",-12.11005884,-29.97065953,-11.75571899,-0.855116578,-2.691231112,3.116460051,-8.653155677,16.53684107,19.10505769,20.037212,-4.614301445,-27.87114624,6.628567346,-9.023515626,-8.357490559
"(1S,2R,5R)-(+)-Isomenthol",-9.163455429,-32.06596117,-17.24010717,-11.07435788,3.891245836,3.852348943,-8.084400339,17.18623708,9.764309566,13.06947494,-2.339197416,-24.10135242,-1.225094447,-2.704821321,-11.22991633
(1R)-(-)-Myrtenol,-18.57998985,-43.53349117,-9.017745279,-7.561750086,3.705131437,-3.587026636,3.845393023,2.018170898,1.251507684,-8.320517591,-2.269961545,1.552114712,8.959597008,1.289269528,6.936194823
(1R)-(+)-Nopinone,-54.21054306,-3.659360352,5.739102392,14.38767959,15.48899785,15.00128773,2.26541696,16.19945358,10.23383007,-35.46492453,-21.96547008,6.820215977,44.11193249,2.926010591,-12.32048396
(1S)-(-)-β-Pinene,-11.27846886,-41.98038872,-11.65980563,-15.60147191,4.748754494,-0.643333429,2.905096441,0.956431625,-2.826200621,-6.471547418,-6.649821524,2.812574564,8.050479369,-6.141022437,-3.740382862
(1S)-(-)-α-Pinene,-16.181055,-42.77435143,-3.836220164,-9.202997328,4.876117461,-1.774613314,-0.597764674,-0.503769683,-8.569891296,-2.283059527,-0.52594429,-1.22118541,2.771352346,-3.244197731,-1.032309456
(1R)-(-)-Nopol,-11.59473676,-41.46534175,-5.249930472,-6.398143993,3.197136951,-3.336571496,0.12266918,-2.051020012,-12.01279614,-7.810042384,4.01213846,0.176407673,4.904063059,0.377909507,-0.158648848
(1R)-(-)-Myrtenal,7.172617109,-69.83658266,-20.47976526,-7.175358633,1.277296651,27.13239793,34.60645321,-4.24329609,14.08132779,-15.33450245,17.65231922,2.011287493,-17.31964863,24.26660428,8.55188402
(-)-α-Pinene oxide,-9.002802829,-43.16867508,-0.199582576,-10.25335333,3.101843989,-3.597649279,-1.23086845,-1.337774116,-12.63285522,-1.325931293,-1.39613842,2.658408691,8.064586792,-3.251418783,-1.827442568
Myrtenyl chloride,-15.42786071,-42.10507628,-4.419832779,-4.518278445,3.892954591,0.109889067,1.556070184,-0.639105168,-7.450864974,-6.272455212,-1.414283405,-2.462932949,7.954006102,0.504405068,3.717781083
Nopyl chloride,-15.33804909,-42.94102965,-4.001687935,-7.173690194,6.13389944,-2.185733562,2.018866168,-0.775407641,-11.09328169,-9.52900477,3.182304986,-2.301955886,5.283146625,1.197939831,1.092108205
(1R)-(-)-Nopol benzyl ether,-8.73281961,-41.75389264,-5.582198613,-1.589756531,1.600831164,-5.862184954,1.506433323,-2.091654995,-11.16982378,-16.3573846,5.321650915,7.214021445,10.90823469,4.000814023,-2.752440096
"(1R,2R,5R)-(+)-2-Hydroxy-3-pinanone",-22.75576948,-34.17383216,11.20543196,30.78030699,9.656876314,45.83109702,-13.22578795,-78.11079441,13.73567557,-26.72802759,8.387978861,-46.70228792,2.97408425,-43.7883522,-57.24508895
(S)-(+)-2-Pentanol,-16.28438134,-38.52290667,-6.156924582,-6.344007659,1.79901353,-2.01840553,-2.092832543,6.935046252,-2.082159588,-0.040339046,-0.89831841,-11.13260614,4.892005255,1.968458493,4.49149996
(S)-(+)-2-Decanol,-12.3561199,-39.72655018,-2.775408562,-8.404765795,0.538260072,-2.298588673,-4.454490815,5.928995466,-6.726753451,-0.540736798,3.226783222,-6.337727422,1.776038494,5.55840255,5.568760032
(S)-(+)-2-Hexanol,-11.26214176,-40.65163934,-5.225127974,-8.931986002,3.145095819,-1.510871075,-3.31640377,9.292525899,-3.321854947,2.568764516,2.961707139,-10.37792169,-2.970020634,-0.338337401,6.879175477
(S)-(-)-2-Methyl-1-butanol,-9.646729942,-36.00718539,-4.309372877,-10.92991641,2.114073904,0.884883616,-0.170130055,0.822558728,-6.476245007,-2.126450147,-2.450434497,-1.193890664,-1.884377542,-6.341640935,4.346601672
(1S)-(-)-α-Pinene,-12.28927079,-42.68912853,-4.361502432,-5.604888578,3.750737733,-3.598604092,-1.191827237,-2.103749601,-12.07840433,-5.517264639,3.608559391,0.013985439,3.532942128,-2.516254515,-4.50304839
(S)-(+)-5-Methyl-1-heptanol,-12.8066952,-39.44622489,-5.613683568,-7.305687965,1.671115175,-1.544506953,-2.564145312,2.211415822,-2.275257199,-0.267526654,-1.572402757,-1.7602719,3.117380342,-5.268277253,-0.183673201
