,Molecule Name,Pubchem ID #,Note,SMILES String,Other SMILES,Method,Contributor,Detection Threshold,Detection Units,Normalized Detection Threshold,Molecule Odour,Resources,N
0,(R)-(-)-gamma-ionone,11389922,,CC(=O)/C=C/[C@H]1C(=C)CCCC1(C)C,,,,1.10E+01,ppb water,11.0,"Weak green, fruity, pineapple-like odor with metallic aspects, quite different from the typical ionone odor; however, slightly woody, ionone-type nuances are also present.",Rows 66-100 are from here: https://www.jstage.jst.go.jp/article/fsti9596t9798/3/4/3_4_402/_pdf,0
1,(S)-(+)-gamma-ionone,11194862,,CC(=O)/C=C/[C@@H]1C(=C)CCCC1(C)C,,,,7.00E-02,ppb water,0.07,"Linear, very pleasant, floral, green, woody odor with a very natural violet tonality; the most powerful and pleasant isomer.",Rows 101-121 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder: Acyclic TerpenoidOdorants,0
2,(4R)-(-)-carvone,439570,,CC1=CC[C@H](CC1=O)C(=C)C,,,,2.00E+00,ppb,2.0,"sweet spearmint, fresh herbal",Rows 122 - 193 are from here: https://github.com/hcshadmany/enantiomerlist ;Folder: Acyclics,1
3,(4S)-(+)-carvone,16724,,CC1=CC[C@@H](CC1=O)C(=C)C,,,,1.30E+02,ppb,130.0,"caraway, fresh herbal",Rows 194-223 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder: CyclicTerpenoidOdorants,1
4,"(4R,7R)-(+)-galaxolide",14177988,,C[C@H]1COCC2=CC3=C(C=C12)C([C@H](C3(C)C)C)(C)C,,,,4.40E-01,ppb in air,0.44,weak to almost odorless,Rows 224-267 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder: Lactones,2
5,"(4S,7S)-(-)-galaxolide",14177991,,C[C@@H]1COCC2=CC3=C(C=C12)C([C@@H](C3(C)C)C)(C)C,,,,1.00E-03,ppb in air,0.001,powerful musk odor,Rows 267-369 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder:  MiscellaneousOdorants,2
6,"(4R,4aS,6R)-(+) nootkatone",1268142,,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C,,,,1.50E+01,ppm,15000.0,grapefruit odor,Rows 370-407 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder:  MoreOdorants,3
7,"(4S,4aR,6S)-(-) nootkatone",7567181,,C[C@H]1CC(=O)C=C2[C@@]1(C[C@H](CC2)C(=C)C)C,,,,6.60E+04,ppm,66000000.0,woody and spicy,Rows 408-423 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder: MuskOdorants,3
8,"(2S,4R)-(+) cis-2-methyl-4-propyl-1,3-oxathiane",6931728,,CCC[C@@H]1CCO[C@@H](S1)C,,,,2.00E+00,ppb,2.0,"ctypical sulfurous, with a rubbery onion note; in addition, there is a fruitiness reminiscent of grapefruit peel, mango, and passion fruit\\xe2\\x80\\x9d",Rows 424-435 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder: Sesquiterpenoid & Diterpenoid Related Odorants,4
9,"(2R,4S)-(-) cis-2-methyl-4-propyl-1,3-oxathiane",6931725,,CCC[C@H]1CCO[C@H](S1)C,,,,4.00E+00,ppb,4.0,was found weaker (compare thresholds)and \\xe2\\x80\\x9cwithout the pronounced sulfur character and possessinga fresh note with more iris character\\xe2\\x80\\x9d,Rows 436-459 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder: SteroidandSandalwoodOdorants,4
10,"(2S,2\\\'S,5\\\'S)-Lilac aldehyde",441572,,C[C@H](C=O)[C@@H]1CC[C@@](O1)(C)C=C,,,,2.00E-01,ng,0.0002,"fresh, flowery",,5
11,"(2R,2\\\'R,5\\\'R)-Lilac aldehyde",71587756,,C[C@@H](C=O)[C@H]1CC[C@](O1)(C)C=C,,,,2.20E+01,ng,0.022000000000000002,flowery,,5
12,D-(+)-asparagine,439600,,C([C@H](C(=O)O)N)C(=O)N,,,,,,,,,6
13,L-(-)-asparagine,6267,,C([C@@H](C(=O)O)N)C(=O)N,,,,,,,,,6
14,(-)-N-L-R-aspartyl-L-phenylalanine,6140,,C1=CC=C(C=C1)C[C@@H](C(=O)O)N,,,,,,,very strong sweet taste,,7
15,(+)-N-L-R-aspartyl-L-phenylalanine,71567,,C1=CC=C(C=C1)C[C@H](C(=O)O)N,,,,,,,bitter,,7
16,"(1R,2S)-(+)-Methyl epidihydrojasmonate",1738122,,CCCCC[C@H]1[C@H](CCC1=O)CC(=O)OC,,,,1.50E+01,ppb,15.0,"intensely floral, jasminelike, bright, cis-jasmone, slightly fatty, woody, \\xc3\\x9f-ionone like, extremely long lasting",,8
17,"(1S,2R)-(-)-Methyl epidihydrojasmonate",1738127,,CCCCC[C@@H]1[C@@H](CCC1=O)CC(=O)OC,,,,1.25E+04,ppb,12500.0,"herbal, fatty, tea-like, tobacco, \\xc3\\x9f-damascone, cis-jasmone",,8
18,"(4R,2S)-(-)-cis-rose oxide",1712087,,C[C@@H]1CCO[C@@H](C1)C=C(C)C,,,,5.00E-01,ppb,0.5,"floral green with clean sharp, light, rose green note, diffusive, strong; also has been described as powerful fruity",,9
19,"(4S,2R)-(+)-cis-rose oxide",6432154,,C[C@H]1CCO[C@H](C1)C=C(C)C,,,,5.00E+01,ppb,50.0,"herbal, green floral, hay green, earthy, heavy; also has been described as sweet, floral",,9
20,(R)-(-)- muscone/(R)--3-methyl cyclopentadecanone,7160826,,C[C@@H]1CCCCCCCCCCCCC(=O)C1,,,,6.10E+01,ppb,61.0,"rich, powerful, musky",,10
21,(S)-(+)- muscone/(S)-(+)-3-methyl cyclopentadecanone,7160827,,C[C@H]1CCCCCCCCCCCCC(=O)C1,,,,2.33E+02,ppb,233.0,"poor, weakly musky",,10
22,(1R)-\\xce\\xb3-methyl cyclogeranate,10012571,,CC1(CCCC(=C)[C@@H]1C(=O)OC)C,,,,,,,"camphoraceous, corky, cellar",,11
23,(1S)-\\xce\\xb3-methyl cyclogeranate,10419825,,CC1(CCCC(=C)[C@H]1C(=O)OC)C,,,,,,,"aromatic, damascone-like, thujone, fruity",,11
24,L-(-)-glutamatic acid,33032,,C(CC(=O)O)[C@@H](C(=O)O)N,,,,4.00E-01,ug/L in water,0.4,characteristic umami taste,,12
25,D-(+)-glutamatic acid,23327,,C(CC(=O)O)[C@H](C(=O)O)N,,,,4.00E-01,ug/L in water,0.4,tasteless,,12
26,"(1R,2S,4R)-(+)-borneol",6552009,,C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2O,,,,1.60E+01,ppb,16.0,"weak camphor-like odor, unpleasantly peppery",,13
27,"(1S,2R,4S)-(-)-borneol",6850744,,C[C@]12CC[C@H](C1(C)C)CC2O,,,,1.60E+01,ppb,16.0,camphor or turpentine,,13
28,(R)-(+)-1-p-menthen- 8-thiol,44152305,,CC1=CC[C@@H](CC1)C(C)(C)S,,,,2.00E-05,ppb,2e-05,pleasant odor of fresh grapefruit juice,,14
29,(S)-(-)-1-p-menthen-8-thiol,10877566,,CC1=CC[C@H](CC1)C(C)(C)S,,,,8.00E-04,ppb,0.0008,"weak, nonspecific odor.",,14
30,"(1R,2S)-(+)-(Z) Methyl epijasmonate",6427970,,CC/C=C\\C[C@H]1[C@H](CCC1=O)CC(=O)OC,,,,3.00E+00,ppb,3.0,"strong, jasmine- like odor",,15
31,"(1S,2R)-(-)-(Z) Methyl epijasmonate",12566815,,CC/C=C/C[C@@H]1[C@@H](CCC1=O)CC(=O)OC,,,,1.00E+99,ppb,1.0000000000000001e+99,odorless,,15
32,(R)-(-)-1-methyl- 2-phenylethylamine,57823844,,C[C@H](CC1=CC=CC=C1)[15NH2],,,,,,,musty odor,,16
33,(S)-(+)-1-methyl- 2-phenylethylamine,57823843,,C[C@@H](CC1=CC=CC=C1)[15NH2],,,,,,,fecal in nature,,16
34,(R)-(+)-undecavertol,40428776,,CCCCC[C@H](/C(=C/CC)/C)O,,,,3.10E-01,ng/L air,0.00031,"similar to the racemate smell floral, green, fresh violet leaves, but it is stronger and more green",,17
35,(S)-(-)-undecavertol,40565487,,CCCCC[C@@H](/C(=C/CC)/C)O,,,,4.70E+00,ng/L air,0.0047,green fruit with a hint of balsam pinefiru and also can feel the notes of tea,,17
36,"(4R,2S)-(-)-cis-rose oxide ",1712087,,C[C@@H]1CCO[C@@H](C1)C=C(C)C,,,,5.00E-01,ppb,0.5,"floral green with clean sharp, light, rose green note, diffusive, strong; also has been described as powerful fruity",,18
37,"(4S,2R)-(+)-cis-rose oxide",6432154,,C[C@H]1CCO[C@H](C1)C=C(C)C,,,,5.00E+01,ppb,50.0,"herbal, green floral, hay green, earthy, heavy; also has been described as sweet, floral",,18
38,(R)-(+)-(E)-alpha-damascone,1268130,,C/C=C/C(=O)[C@H]1C(=CCCC1(C)C)C,,,,1.00E+02,ppb,100.0,"odor character was reminiscent of rose petals, with apple & fruitier notes than (S)-(-)-(E)-alpha-damascone . When used as a flavoring ingredient, (R)-(+)-alpha-damascone possesses also a somehat woody, camphory, dirty and musty taste.",,19
39,(S)-(-)-(E)-alpha-damascone,1268132,,C/C=C\\C(=O)C1C(=CCCC1(C)C)C,C/C=C\\C(=O)C1C(=CCCC1(C)C)C,PubChem,DW,1.50E+00,ppb,1.5,"floral, reminiscent of rose petals and characterized by a more pronounced and fresher floral note possessing moreover a green and slightly winey notes without presenting the ""cork"" tone and the typical green apple note of the racemic mixture or of the (R)-(+)-enantiomer. When used as a flavoring ingredient, (S)-(-)-alpha-damascone develops a floral note. Moreover, it is reminiscent of tea, especially with regard to its herbal character.",,19
40,"(1S,5R)-(+)-cis-alpha-irone",5281521,,C[C@@H]1CC=C([C@@H](C1(C)C)/C=C/C(=O)C)C,,,,1.00E+05,ppb,100000.0,"iris, sweet irone odour, woody ionone, floral, fruity (Galfry, et.al, by GC sniffing); Violet like, with woody, methylionone undertones (Brenna, et. al.)",,20
41,"(1R,5S)-(-)-cis-alpha-irone",11009095,,C[C@H]1CC=C([C@H](C1(C)C)/C=C/C(=O)C)C,,,,1.00E+04,ppb,10000.0,"odourless (Galfry, et.al, by GC sniffing); In contrast, Inoue, et. al., indicate the (-)-cis-alpha-irone fragrance is superior to its enantiomer; Brenna, et. al. describe it as slightly stronger with a distinct \\xe2\\x80\\x98orris-butter\\xe2\\x80\\x99 character",,20
42,(S)-(+)-2-methylbutanal,6971249,,CC[C@H](C)C=O,,,,1.00E+01,ppm in air,10000.0,"pungent, fresh, fruity (Boelens, et. al.); Peculiar to burnt cocoa and coffee like, in high concentrations pungent (Bartschat et. al)",,21
43,(R)-(-)-2-methylbutanal,6971248,,CC[C@@H](C)C=O,,,,1.00E+02,ppm in air,100000.0,"pungent, caprylic (Boelens, et. al.); Peculiar to burnt cocoa and coffee like (Bartschat et. al)",,21
44,(S)-(+)-1-octen-3-ol,2724898,,CCCCC[C@@H](C=C)O,,,,1.00E+02,ppb in aqueous ethanol,100.0,"moldy, grassy, artificial; also desribed as herbaceous, green, musty",,22
45,(R)-(-)-1-octen-3-ol,6992244,,CCCCC[C@H](C=C)O,,,,1.00E+01,ppb in aqueous ethanol,10.0,"fruity, genuine mushroom-like; also desribed as intensive mushroom note, fruity, sof",,22
46,"(1R,3R,1\\\'S,2\\\'R,4\\\'S,6\\\'S)-(+)-threo-trans-3-isocamphylcyclohexanol",106673,,C[C@H]1[C@H]2C[C@H](C[C@@H]2[C@@H]3CCC[C@@H](O)C3)C1(C)C,C[C@H]1[C@H]2C[C@H](C[C@@H]2[C@@H]3CCC[C@@H](O)C3)C1(C)C,ChemDraw + Cactus,DW,2.00E-01,ppb water,0.2,"Strong, diffusive, and sandalwood-like odor; natural sandalwood odor, but very strong and keen",,23
47,"(1S,3S,1\\\'R,2\\\'S,4\\\'R,6\\\'R)-(-)-threo-trans-3-isocamphylcyclohexanol",106673,,C[C@@H]1[C@@H]2C[C@@H](C[C@H]2[C@H]3CCC[C@H](O)C3)C1(C)C,C[C@@H]1[C@@H]2C[C@@H](C[C@H]2[C@H]3CCC[C@H](O)C3)C1(C)C,ChemDraw + Cactus,DW,1.00E+02,ppb water,100.0,"weak, moldy and woody odor",,23
48,"(+)-(4R,7S)-7-Methyl-4-isopropyl-4,5,6,7-tetrahydro-1,3-benzothiazole",7222,,CC(C)[C@H]1CC[C@H](C)c2scnc12,CC(C)[C@H]1CC[C@H](C)c2scnc12,Cactus,DW,1.80E-01,ppb water,0.18,Bell pepper odor,,24
49,"(-)-(4S,7R)-7-Methyl-4-isopropyl-4,5,6,7-tetrahydro-1,3-benzothiazole",7222,,CC(C)[C@@H]1CC[C@@H](C)c2scnc12,CC(C)[C@@H]1CC[C@@H](C)c2scnc12,Cactus,DW,2.20E+01,ppb water,22.0,Green minty odor,,24
50,"(2S,4S)-(-)-cis-dihydrorose oxide ",114530,,CC(C)C[C@H]1C[C@@H](C)CCO1,CC(C)C[C@H]1C[C@@H](C)CCO1,ChemDraw + Cactus,DW,4.50E+02,ppb,450.0,"(herbal green) herbal, leafy green, heavy",,25
51,"(2R,4R)-(+)-cis-dihydrorose oxide",114530,,CC(C)C[C@@H]1C[C@H](C)CCO1,CC(C)C[C@@H]1C[C@H](C)CCO1,ChemDraw + Cactus,DW,1.70E+01,ppb,17.0,"(floral green) clean, ripe fruit herbal, rose green, leafy",,25
52,"(+)-(2S,4R)-2-Acetyl-p-menth-6-ene",854499,,CC(C)[C@@H]1CC=C(C)[C@H](C1)C(C)=O,CC(C)[C@@H]1CC=C(C)[C@H](C1)C(C)=O,Expanded Leffingwell Name + Cactus,DW,2.00E+00,ppm in water,2000.0,"remarkably different in aroma than its (-)-(2R,4S)-enantiomer having a disagreeable tree-like note",,26
53,"(-)-(2R,4S)-2-Acetyl-p-menth-6-ene",854499,,CC(C)[C@H]1CC=C(C)[C@@H](C1)C(C)=O,CC(C)[C@H]1CC=C(C)[C@@H](C1)C(C)=O,Expanded Leffingwell Name + Cactus,DW,1.00E-01,ppm in water,100.0,"provides a sweetness, specifically reminds of a grapefruit or Mandarin having green fruity citrus aroma",,26
54,"(1\\\'R,6\\\'S)-(+)-1-(2\\\',2\\\',6\\\'-Trimethyl-cyclohexyl)-pentan-3-ol",10829712,,CC[C@@H](O)CC[C@@H]1[C@@H](C)CCCC1(C)C,CC[C@@H](O)CC[C@@H]1[C@@H](C)CCCC1(C)C,ChemDraw + Cactus,DW,5.60E+01,ppb,56.0,very diffusive sharp amber odor with slight orrisy camphoraceous side note,,27
55,"(1\\\'S,6\\\'R)-(-)-1-(2\\\',2\\\',6\\\'-Trimethyl-cyclohexyl)-pentan-3-ol",10829712,,CC[C@H](O)CC[C@H]1[C@H](C)CCCC1(C)C,CC[C@H](O)CC[C@H]1[C@H](C)CCCC1(C)C,ChemDraw + Cactus,DW,8.90E+02,ppb,890.0,faint vetiver-like woody odor with slight amber and moldy note,,27
56,(R)-(+)-5-heptylpentan-5-olide,12844,,CCCCCCC[C@@H]1CCCC(=O)O1,CCCCCCC[C@@H]1CCCC(=O)O1,Cactus,DW,5.00E+02,ppb,500.0,"Fruity, sweet, apricot",,28
57,(S)-(-)-5-heptylpentan-5-olide,12844,,CCCCCCC[C@H]1CCCC(=O)O1,CCCCCCC[C@H]1CCCC(=O)O1,Cactus,DW,5.00E+01,ppb,50.0,"Fruity, sweet",,28
58,"(-)-androsta-4,16-dien-3-one",196941,,C[C@@]12CC[C@@H]3[C@H](CCC4=CC(=O)CC[C@@]34C)[C@H]1CC=C2,C[C@@]12CC[C@@H]3[C@H](CCC4=CC(=O)CC[C@@]34C)[C@H]1CC=C2,Expanded Leffingwell Name + Cactus,DW,,,,odorless,,29
59,"(+)-androsta-4,16-dien-3-one",196941,,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC=C2,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC=C2,Expanded Leffingwell Name + Cactus,DW,9.80E-01,ppb,0.98,very persistent odor of urine & sweat,,29
60,"(+)-(2R)-2-methyl-4-[(1S)-2,2,3-trimethylcyclopent-3-en-1-yl]butan-1-ol",1747971,,CC1=CC[C@@H](C1(C)C)CC[C@@H](C)CO,,,,1.45E+01,ppb,14.5,peculiar sandalwood\\\'s strongly excellent smell,,30
61,"(-)-(2S)-2-methyl-4-[(1R)-2,2,3-trimethylcyclopent-3-en-1-yl]butan-1-ol",1747972,,CC1=CC[C@H](C1(C)C)CC[C@H](C)CO,,,,1.77E+02,ppb,177.0,weak and less preferred enantiomer,,30
62,"(1\\\'R,E)-(-)-2-Ethyl-4-(2\\\',2\\\',3\\\'-trimethyl-cyclopent-3-enyl)-but-2-en-1-ol",119898,,CC\\C(CO)=C/C[C@H]1CC=C(C)C1(C)C,CC\\C(CO)=C/C[C@H]1CC=C(C)C1(C)C,ChemDraw + Cactus,DW,8.50E-01,ppb,0.85,"clean, bright and strong sandalwood oil odor with richness and a woody note",,31
