,Unnamed: 0,Molecule Name,Pubchem ID #,Note,SMILES String,Other SMILES,Method,Contributor,Detection Threshold,Detection Units,Normalized Detection Threshold,Molecule Odour,Resources,N,log_abs,det
0,0,(R)-(-)-gamma-ionone,11389922,,CC(=O)/C=C/[C@H]1C(=C)CCCC1(C)C,,,,1.10E+01,ppb water,11.0,"Weak green, fruity, pineapple-like odor with metallic aspects, quite different from the typical ionone odor; however, slightly woody, ionone-type nuances are also present.",Rows 66-100 are from here: https://www.jstage.jst.go.jp/article/fsti9596t9798/3/4/3_4_402/_pdf,0,2.196294645143968,-0.8566269000422597
2,2,(4R)-(-)-carvone,439570,,CC1=CC[C@H](CC1=O)C(=C)C,,,,2.00E+00,ppb,2.0,"sweet spearmint, fresh herbal",Rows 122 - 193 are from here: https://github.com/hcshadmany/enantiomerlist ;Folder: Acyclics,1,1.8129133566428555,0.5954294124289493
4,4,"(4R,7R)-(+)-galaxolide",14177988,,C[C@H]1COCC2=CC3=C(C=C12)C([C@H](C3(C)C)C)(C)C,,,,4.40E-01,ppb in air,0.44,weak to almost odorless,Rows 224-267 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder: Lactones,2,2.6434526764861874,-2.69995591731767
6,6,"(4R,4aS,6R)-(+) nootkatone",1268142,,C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](CC2)C(=C)C)C,,,,1.50E+01,ppm,15000.0,grapefruit odor,Rows 370-407 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder:  MoreOdorants,3,3.6434526764861874,4.4770225626429045
8,8,"(2S,4R)-(+) cis-2-methyl-4-propyl-1,3-oxathiane",6931728,,CCC[C@@H]1CCO[C@@H](S1)C,,,,2.00E+00,ppb,2.0,"ctypical sulfurous, with a rubbery onion note; in addition, there is a fruitiness reminiscent of grapefruit peel, mango, and passion fruit\\xe2\\x80\\x9d",Rows 424-435 are from here: https://github.com/hcshadmany/enantiomerlist ; Folder: Sesquiterpenoid & Diterpenoid Related Odorants,4,0.3010299956639812,0.4259687322722811
10,10,"(2S,2\\\'S,5\\\'S)-Lilac aldehyde",441572,,C[C@H](C=O)[C@@H]1CC[C@@](O1)(C)C=C,,,,2.00E-01,ng,0.0002,"fresh, flowery",,5,2.041392685158225,-3.40187030230047
16,16,"(1R,2S)-(+)-Methyl epidihydrojasmonate",1738122,,CCCCC[C@H]1[C@H](CCC1=O)CC(=O)OC,,,,1.50E+01,ppb,15.0,"intensely floral, jasminelike, bright, cis-jasmone, slightly fatty, woody, \\xc3\\x9f-ionone like, extremely long lasting",,8,2.9208187539523753,1.4766004137834767
18,18,"(4R,2S)-(-)-cis-rose oxide",1712087,,C[C@@H]1CCO[C@@H](C1)C=C(C)C,,,,5.00E-01,ppb,0.5,"floral green with clean sharp, light, rose green note, diffusive, strong; also has been described as powerful fruity",,9,2.0,-0.004321373782642578
20,20,(R)-(-)- muscone/(R)--3-methyl cyclopentadecanone,7160826,,C[C@@H]1CCCCCCCCCCCCC(=O)C1,,,,6.10E+01,ppb,61.0,"rich, powerful, musky",,10,0.582026086015252,1.9853684212886098
24,24,L-(-)-glutamatic acid,33032,,C(CC(=O)O)[C@@H](C(=O)O)N,,,,4.00E-01,ug/L in water,0.4,characteristic umami taste,,12,0.0,-0.3979400086720376
26,26,"(1R,2S,4R)-(+)-borneol",6552009,,C[C@@]12CC[C@@H](C1(C)C)C[C@@H]2O,,,,1.60E+01,ppb,16.0,"weak camphor-like odor, unpleasantly peppery",,13,0.0,1.2041199826559248
28,28,(R)-(+)-1-p-menthen- 8-thiol,44152305,,CC1=CC[C@@H](CC1)C(C)(C)S,,,,2.00E-05,ppb,2e-05,pleasant odor of fresh grapefruit juice,,14,1.6020599913279623,-4.40866387406381
30,30,"(1R,2S)-(+)-(Z) Methyl epijasmonate",6427970,,CC/C=C\\C[C@H]1[C@H](CCC1=O)CC(=O)OC,,,,3.00E+00,ppb,3.0,"strong, jasmine- like odor",,15,98.52287874528034,0.7781512503836436
34,34,(R)-(+)-undecavertol,40428776,,CCCCC[C@H](/C(=C/CC)/C)O,,,,3.10E-01,ng/L air,0.00031,"similar to the racemate smell floral, green, fresh violet leaves, but it is stronger and more green",,17,1.1807361641014449,-3.2353481784332745
38,38,(R)-(+)-(E)-alpha-damascone,1268130,,C/C=C/C(=O)[C@H]1C(=CCCC1(C)C)C,,,,1.00E+02,ppb,100.0,"odor character was reminiscent of rose petals, with apple & fruitier notes than (S)-(-)-(E)-alpha-damascone . When used as a flavoring ingredient, (R)-(+)-alpha-damascone possesses also a somehat woody, camphory, dirty and musty taste.",,19,1.8239087409443189,0.4706552124704307
40,40,"(1S,5R)-(+)-cis-alpha-irone",5281521,,C[C@@H]1CC=C([C@@H](C1(C)C)/C=C/C(=O)C)C,,,,1.00E+05,ppb,100000.0,"iris, sweet irone odour, woody ionone, floral, fruity (Galfry, et.al, by GC sniffing); Violet like, with woody, methylionone undertones (Brenna, et. al.)",,20,1.0,4.259637310505756
42,42,(S)-(+)-2-methylbutanal,6971249,,CC[C@H](C)C=O,,,,1.00E+01,ppm in air,10000.0,"pungent, fresh, fruity (Boelens, et. al.); Peculiar to burnt cocoa and coffee like, in high concentrations pungent (Bartschat et. al)",,21,1.0,4.259637310505756
44,44,(S)-(+)-1-octen-3-ol,2724898,,CCCCC[C@@H](C=C)O,,,,1.00E+02,ppb in aqueous ethanol,100.0,"moldy, grassy, artificial; also desribed as herbaceous, green, musty",,22,1.0,1.2596373105057561
46,46,"(1R,3R,1\\\'S,2\\\'R,4\\\'S,6\\\'S)-(+)-threo-trans-3-isocamphylcyclohexanol",106673,,C[C@H]1[C@H]2C[C@H](C[C@@H]2[C@@H]3CCC[C@@H](O)C3)C1(C)C,C[C@H]1[C@H]2C[C@H](C[C@@H]2[C@@H]3CCC[C@@H](O)C3)C1(C)C,ChemDraw + Cactus,DW,2.00E-01,ppb water,0.2,"Strong, diffusive, and sandalwood-like odor; natural sandalwood odor, but very strong and keen",,23,2.6989700043360187,-0.39880773020326454
48,48,"(+)-(4R,7S)-7-Methyl-4-isopropyl-4,5,6,7-tetrahydro-1,3-benzothiazole",7222,,CC(C)[C@H]1CC[C@H](C)c2scnc12,CC(C)[C@H]1CC[C@H](C)c2scnc12,Cactus,DW,1.80E-01,ppb water,0.18,Bell pepper odor,,24,2.0871501757189,-0.44723636022364777
50,50,"(2S,4S)-(-)-cis-dihydrorose oxide ",114530,,CC(C)C[C@H]1C[C@@H](C)CCO1,CC(C)C[C@H]1C[C@@H](C)CCO1,ChemDraw + Cactus,DW,4.50E+02,ppb,450.0,"(herbal green) herbal, leafy green, heavy",,25,1.4227635923970698,1.5153745502514866
52,52,"(+)-(2S,4R)-2-Acetyl-p-menth-6-ene",854499,,CC(C)[C@@H]1CC=C(C)[C@H](C1)C(C)=O,CC(C)[C@@H]1CC=C(C)[C@H](C1)C(C)=O,Expanded Leffingwell Name + Cactus,DW,2.00E+00,ppm in water,2000.0,"remarkably different in aroma than its (-)-(2R,4S)-enantiomer having a disagreeable tree-like note",,26,1.3010299956639813,2.279840696594043
